Launch Site,class,Lat,Long
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
VAFB SLC 4E,0,34.632834,-120.610746
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
VAFB SLC 4E,0,34.632834,-120.610746
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
VAFB SLC 4E,1,34.632834,-120.610746
KSC LC 39A,1,28.573255,-80.646895
KSC LC 39A,0,28.573255,-80.646895
KSC LC 39A,1,28.573255,-80.646895
KSC LC 39A,1,28.573255,-80.646895
KSC LC 39A,0,28.573255,-80.646895
KSC LC 39A,1,28.573255,-80.646895
KSC LC 39A,1,28.573255,-80.646895
VAFB SLC 4E,1,34.632834,-120.610746
KSC LC 39A,0,28.573255,-80.646895
KSC LC 39A,1,28.573255,-80.646895
VAFB SLC 4E,1,34.632834,-120.610746
KSC LC 39A,1,28.573255,-80.646895
VAFB SLC 4E,1,34.632834,-120.610746
KSC LC 39A,1,28.573255,-80.646895
KSC LC 39A,1,28.573255,-80.646895
CCSFS SLC 40,1,28.563197,-80.57682
VAFB SLC 4E,1,34.632834,-120.610746
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
VAFB SLC 4E,0,34.632834,-120.610746
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
KSC LC 39A,1,28.573255,-80.646895
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
VAFB SLC 4E,1,34.632834,-120.610746
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
VAFB SLC 4E,1,34.632834,-120.610746
KSC LC 39A,1,28.573255,-80.646895
VAFB SLC 4E,1,34.632834,-120.610746
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
VAFB SLC 4E,1,34.632834,-120.610746
KSC LC 39A,1,28.573255,-80.646895
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
VAFB SLC 4E,1,34.632834,-120.610746
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
KSC LC 39A,0,28.573255,-80.646895
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,0,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
KSC LC 39A,0,28.573255,-80.646895
KSC LC 39A,1,28.573255,-80.646895
KSC LC 39A,1,28.573255,-80.646895
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
KSC LC 39A,1,28.573255,-80.646895
KSC LC 39A,1,28.573255,-80.646895
KSC LC 39A,1,28.573255,-80.646895
CCSFS SLC 40,1,28.563197,-80.57682
CCSFS SLC 40,1,28.563197,-80.57682
